Sr No.,Utterance,suddenness,familiarity,predict_event,pleasantness,unpleasantness,goal_relevance,chance_responsblt,self_responsblt,other_responsblt,predict_conseq,goal_support,urgency,self_control,other_control,chance_control,accept_conseq,standards,social_norms,attention,not_consider,effort,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
1,also I was the point person on my company’s transition from the KL-5 to GR-6 system.,2.7829949855804443,2.7160637378692627,3.379836082458496,4.134195327758789,2.112165689468384,4.003929138183594,1.9927536249160767,3.8614912033081055,3.1402411460876465,3.589873790740967,3.9913926124572754,3.3178768157958984,3.2505979537963867,3.6827540397644043,2.0257227420806885,3.70064640045166,1.7609299421310425,1.2830747365951538,4.33051061630249,1.7809711694717407,3.601047992706299,Chandler,neutral,neutral,0,0,8,21,"00:16:16,059","00:16:21,731"
2,You must’ve had your hands full.,3.04919171333313,3.5293779373168945,3.8265135288238525,2.3688509464263916,3.9232726097106934,3.0224902629852295,2.736584424972534,2.962414264678955,3.2768149375915527,3.6034188270568848,2.658212661743164,3.2539267539978027,3.0173213481903076,3.4935619831085205,2.856266736984253,3.508195638656616,2.7443859577178955,1.7626382112503052,3.786269187927246,3.047595977783203,3.5042591094970703,The Interviewer,neutral,neutral,0,1,8,21,"00:16:21,940","00:16:23,442"
3,That I did. That I did.,2.5904247760772705,3.0334219932556152,3.6842105388641357,3.2733728885650635,2.941410779953003,3.8929896354675293,2.094524383544922,4.423686981201172,2.2703135013580322,3.6657497882843018,3.5285098552703857,3.2817981243133545,3.6833927631378174,2.837320327758789,1.9769874811172485,3.6997079849243164,2.2004687786102295,1.440263032913208,4.163666248321533,2.5709311962127686,3.6731109619140625,Chandler,neutral,neutral,0,2,8,21,"00:16:23,442","00:16:26,389"
4,So let’s talk a little bit about your duties.,2.160891532897949,3.9430930614471436,4.306069374084473,3.038891315460205,3.113976240158081,2.927649974822998,1.9760874509811401,3.6212081909179688,2.963975667953491,3.9718809127807617,3.3248612880706787,2.8501405715942383,3.427847146987915,3.5155653953552246,2.19124174118042,3.659963846206665,2.2598726749420166,1.5465714931488037,3.750490427017212,2.4337847232818604,3.2880139350891113,The Interviewer,neutral,neutral,0,3,8,21,"00:16:26,820","00:16:29,572"
5,My duties?  All right.,2.0899147987365723,3.970465898513794,4.460562705993652,2.8307580947875977,3.2565417289733887,3.0021584033966064,2.0163023471832275,3.992082357406616,2.3967456817626953,3.956015110015869,3.186558961868286,2.777466058731079,3.6929140090942383,2.9521820545196533,2.157060384750366,3.6421360969543457,2.2125630378723145,1.3779468536376953,3.559554100036621,2.543191909790039,3.2136454582214355,Chandler,surprise,positive,0,4,8,21,"00:16:34,452","00:16:40,917"
6,"Now you’ll be heading a whole division, so you’ll have a lot of duties.",2.8483221530914307,3.1089975833892822,3.5260701179504395,3.8497283458709717,2.483011484146118,3.7190213203430176,2.031858444213867,3.5106277465820312,3.610464096069336,3.6399383544921875,3.7813501358032227,3.217639684677124,3.151658058166504,4.050070285797119,2.0768871307373047,3.807953357696533,2.037090301513672,1.4930880069732666,4.1563944816589355,2.067732572555542,3.4714088439941406,The Interviewer,neutral,neutral,0,5,8,21,"00:16:41,126","00:16:44,337"
7,I see.,3.149414300918579,3.396597385406494,3.6626079082489014,3.0103626251220703,3.51220965385437,3.4005017280578613,2.4213011264801025,3.087669849395752,3.5835344791412354,3.6905713081359863,3.016040802001953,3.292196750640869,3.007575273513794,3.8903915882110596,2.4535810947418213,3.5942564010620117,2.774930953979492,1.8595019578933716,4.058325290679932,2.748518705368042,3.5716776847839355,Chandler,neutral,neutral,0,6,8,21,"00:16:48,800","00:16:51,886"
8,But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,2.6425459384918213,3.8517682552337646,3.9984636306762695,2.1615967750549316,4.03468132019043,2.602200984954834,2.047149181365967,2.9466655254364014,3.6429550647735596,3.7555882930755615,2.449493646621704,2.82255482673645,3.05411958694458,3.8048973083496094,2.2790117263793945,3.5036845207214355,3.02748441696167,2.04048490524292,3.551737070083618,3.110732316970825,3.318356990814209,The Interviewer,neutral,neutral,0,7,8,21,"00:16:48,800","00:16:54,514"
9,Good to know.,3.410601854324341,2.9878854751586914,3.2475929260253906,3.1762852668762207,3.220322608947754,3.603604316711426,2.600130081176758,2.784658432006836,3.806006669998169,3.439739942550659,3.191283702850342,3.515535831451416,2.748100519180298,4.159694671630859,2.57804536819458,3.602670192718506,2.659661054611206,1.824347734451294,4.281603813171387,2.598233222961426,3.646218776702881,Chandler,neutral,neutral,0,8,8,21,"00:16:59,477","00:17:00,478"
10,We can go into detail,2.572188377380371,3.6397812366485596,3.969285726547241,3.193653106689453,3.1384785175323486,3.3195369243621826,2.1035139560699463,3.5637192726135254,3.3257453441619873,3.8156509399414062,3.40443754196167,3.0861377716064453,3.341008424758911,3.750551462173462,2.1868319511413574,3.6440329551696777,2.423222303390503,1.6522281169891357,4.041748046875,2.54508113861084,3.5141947269439697,The Interviewer,neutral,neutral,0,9,8,21,"00:17:00,478","00:17:02,719"
