prompt,prompt_suddenness,prompt_familiarity,prompt_predict_event,prompt_pleasantness,prompt_unpleasantness,prompt_goal_relevance,prompt_chance_responsblt,prompt_self_responsblt,prompt_other_responsblt,prompt_predict_conseq,prompt_goal_support,prompt_urgency,prompt_self_control,prompt_other_control,prompt_chance_control,prompt_accept_conseq,prompt_standards,prompt_social_norms,prompt_attention,prompt_not_consider,prompt_effort,response,response_suddenness,response_familiarity,response_predict_event,response_pleasantness,response_unpleasantness,response_goal_relevance,response_chance_responsblt,response_self_responsblt,response_other_responsblt,response_predict_conseq,response_goal_support,response_urgency,response_self_control,response_other_control,response_chance_control,response_accept_conseq,response_standards,response_social_norms,response_attention,response_not_consider,response_effort,quality
"I know I am too big, and I probably should exercise more and eat better, but I am so busy. I’ve got school, homework, and my job at the mall, so I don’t see anywhere to fit it in. Plus, I can’t afford any of those gyms. And none of my friends want to exercise with me. They’re lazier than I am.  ",2.4297993183135986,3.485628366470337,4.026628017425537,1.3362064361572266,4.5114665031433105,3.0496392250061035,2.1601366996765137,4.194897651672363,1.7544499635696411,3.5957257747650146,1.9854979515075684,2.7980775833129883,3.5442042350769043,2.1473567485809326,2.179020404815674,3.187535285949707,3.0517520904541016,1.7057840824127197,3.349954843521118,3.6005783081054688,3.3437538146972656,"You are starting to think it’s time to do something about your weight, and you know exercise and eating a little better would help. But fitting it in, between school and work, seems almost impossible. The gym isn’t an option, and you can’t think of any friends who would work out with you. But it is something you are starting to think about.",2.462993860244751,3.2795510292053223,3.967811346054077,2.0448508262634277,4.029943943023682,3.5114588737487793,2.163719654083252,4.417006015777588,1.8492478132247925,3.6703686714172363,2.536050319671631,3.058713436126709,3.6650071144104004,2.34791898727417,2.213273048400879,3.3669490814208984,2.737334728240967,1.5348056554794312,3.713419198989868,3.218442678451538,3.5234508514404297,3
"I know I am too big, and I probably should exercise more and eat better, but I am so busy. I’ve got school, homework, and my job at the mall, so I don’t see anywhere to fit it in. Plus, I can’t afford any of those gyms. And none of my friends want to exercise with me. They’re lazier than I am.  ",2.4297993183135986,3.485628366470337,4.026628017425537,1.3362064361572266,4.5114665031433105,3.0496392250061035,2.1601366996765137,4.194897651672363,1.7544499635696411,3.5957257747650146,1.9854979515075684,2.7980775833129883,3.5442042350769043,2.1473567485809326,2.179020404815674,3.187535285949707,3.0517520904541016,1.7057840824127197,3.349954843521118,3.6005783081054688,3.3437538146972656,"You have put a lot of effort into losing weight but it has not paid off. You are starting to feel a bit desperate. Diets don’t seem to work for you. You are looking for something different that might last.
",2.6981608867645264,3.1747560501098633,3.7779836654663086,1.4765828847885132,4.527062892913818,3.4449119567871094,2.3993430137634277,4.158129692077637,1.7538721561431885,3.495666742324829,2.0951523780822754,3.0651979446411133,3.3886172771453857,2.174095392227173,2.4155004024505615,3.112555980682373,3.0120246410369873,1.7063188552856445,3.6425790786743164,3.611300230026245,3.6284849643707275,3
"I know I am too big, and I probably should exercise more and eat better, but I am so busy. I’ve got school, homework, and my job at the mall, so I don’t see anywhere to fit it in. Plus, I can’t afford any of those gyms. And none of my friends want to exercise with me. They’re lazier than I am.  ",2.4297993183135986,3.485628366470337,4.026628017425537,1.3362064361572266,4.5114665031433105,3.0496392250061035,2.1601366996765137,4.194897651672363,1.7544499635696411,3.5957257747650146,1.9854979515075684,2.7980775833129883,3.5442042350769043,2.1473567485809326,2.179020404815674,3.187535285949707,3.0517520904541016,1.7057840824127197,3.349954843521118,3.6005783081054688,3.3437538146972656,You don't know how you'd fit exercise into your schedule.,2.0195486545562744,3.7334847450256348,4.294911861419678,1.793864369392395,4.097095012664795,2.830235719680786,2.093186140060425,4.199829578399658,1.6396193504333496,3.7888779640197754,2.3373022079467773,2.6655759811401367,3.7495150566101074,2.135845422744751,2.217679738998413,3.3535995483398438,2.590023994445801,1.4217300415039062,3.248560905456543,3.1513583660125732,3.1491446495056152,2
"I know I am too big, and I probably should exercise more and eat better, but I am so busy. I’ve got school, homework, and my job at the mall, so I don’t see anywhere to fit it in. Plus, I can’t afford any of those gyms. And none of my friends want to exercise with me. They’re lazier than I am.  ",2.4297993183135986,3.485628366470337,4.026628017425537,1.3362064361572266,4.5114665031433105,3.0496392250061035,2.1601366996765137,4.194897651672363,1.7544499635696411,3.5957257747650146,1.9854979515075684,2.7980775833129883,3.5442042350769043,2.1473567485809326,2.179020404815674,3.187535285949707,3.0517520904541016,1.7057840824127197,3.349954843521118,3.6005783081054688,3.3437538146972656,It's free to exercise at home. Maybe ride your bike or walk. Ask one of your parents to help. Try to eat some salads and fruit. Bring snacks to work and school.,1.6831828355789185,3.902488946914673,4.451531410217285,3.2275242805480957,2.5220656394958496,2.598708152770996,1.788718342781067,4.494770050048828,1.5877970457077026,3.819221019744873,3.3439555168151855,2.561568021774292,3.9943344593048096,2.1087002754211426,1.959191918373108,3.6988492012023926,1.6209622621536255,1.1663199663162231,3.29738187789917,2.080383777618408,2.6666812896728516,1
"I know I am too big, and I probably should exercise more and eat better, but I am so busy. I’ve got school, homework, and my job at the mall, so I don’t see anywhere to fit it in. Plus, I can’t afford any of those gyms. And none of my friends want to exercise with me. They’re lazier than I am.  ",2.4297993183135986,3.485628366470337,4.026628017425537,1.3362064361572266,4.5114665031433105,3.0496392250061035,2.1601366996765137,4.194897651672363,1.7544499635696411,3.5957257747650146,1.9854979515075684,2.7980775833129883,3.5442042350769043,2.1473567485809326,2.179020404815674,3.187535285949707,3.0517520904541016,1.7057840824127197,3.349954843521118,3.6005783081054688,3.3437538146972656,"Do you have a cheap gym near you, like a Planet Fitness?",2.379601001739502,3.6372029781341553,3.9033432006835938,4.305902481079102,1.8529506921768188,2.9507904052734375,1.9124878644943237,3.8107752799987793,3.087388515472412,3.7044405937194824,4.123744964599609,2.893054962158203,3.5925323963165283,3.4987709522247314,1.9550857543945312,3.9558262825012207,1.5172398090362549,1.3179136514663696,3.7662298679351807,1.677202820777893,2.7776877880096436,1
"I know I am too big, and I probably should exercise more and eat better, but I am so busy. I’ve got school, homework, and my job at the mall, so I don’t see anywhere to fit it in. Plus, I can’t afford any of those gyms. And none of my friends want to exercise with me. They’re lazier than I am.  ",2.4297993183135986,3.485628366470337,4.026628017425537,1.3362064361572266,4.5114665031433105,3.0496392250061035,2.1601366996765137,4.194897651672363,1.7544499635696411,3.5957257747650146,1.9854979515075684,2.7980775833129883,3.5442042350769043,2.1473567485809326,2.179020404815674,3.187535285949707,3.0517520904541016,1.7057840824127197,3.349954843521118,3.6005783081054688,3.3437538146972656,"You always have time for something, and about the lack of money, just work harder or even if you lack money, start training in public places.",2.4673235416412354,3.5015642642974854,3.9468612670898438,3.553311824798584,2.6869845390319824,3.452650547027588,2.0390102863311768,4.404346942901611,2.4710893630981445,3.7084035873413086,3.6053154468536377,3.0600991249084473,3.864520311355591,2.9440908432006836,1.971550464630127,3.8190035820007324,1.943671703338623,1.3796948194503784,3.869781017303467,2.2990052700042725,3.231285810470581,1
"I know I am too big, and I probably should exercise more and eat better, but I am so busy. I’ve got school, homework, and my job at the mall, so I don’t see anywhere to fit it in. Plus, I can’t afford any of those gyms. And none of my friends want to exercise with me. They’re lazier than I am.  ",2.4297993183135986,3.485628366470337,4.026628017425537,1.3362064361572266,4.5114665031433105,3.0496392250061035,2.1601366996765137,4.194897651672363,1.7544499635696411,3.5957257747650146,1.9854979515075684,2.7980775833129883,3.5442042350769043,2.1473567485809326,2.179020404815674,3.187535285949707,3.0517520904541016,1.7057840824127197,3.349954843521118,3.6005783081054688,3.3437538146972656,"Your feelings are valid, but I would advise that you take some time in your day for self care. It is important that you are happy with yourself. Where there is a will there is a way.",2.3441226482391357,3.6853580474853516,4.193605422973633,2.8934545516967773,3.2629003524780273,3.4162254333496094,2.004540205001831,4.213568210601807,2.427591323852539,3.8297173976898193,3.176481246948242,2.9761486053466797,3.6944737434387207,2.940948247909546,2.1270201206207275,3.6293082237243652,2.3683605194091797,1.549340009689331,3.8431785106658936,2.730522871017456,3.4123382568359375,1
"I know I am too big, and I probably should exercise more and eat better, but I am so busy. I’ve got school, homework, and my job at the mall, so I don’t see anywhere to fit it in. Plus, I can’t afford any of those gyms. And none of my friends want to exercise with me. They’re lazier than I am.  ",2.4297993183135986,3.485628366470337,4.026628017425537,1.3362064361572266,4.5114665031433105,3.0496392250061035,2.1601366996765137,4.194897651672363,1.7544499635696411,3.5957257747650146,1.9854979515075684,2.7980775833129883,3.5442042350769043,2.1473567485809326,2.179020404815674,3.187535285949707,3.0517520904541016,1.7057840824127197,3.349954843521118,3.6005783081054688,3.3437538146972656,"Start with small steps, start exercising at home and then progress. And really consider if you really don't have the time or just need to adjust your priorities.",2.112872838973999,3.54604172706604,4.209298133850098,2.7086496353149414,3.291243553161621,3.270102024078369,1.8983983993530273,4.5900959968566895,1.7249940633773804,3.8261523246765137,3.091747999191284,2.9292378425598145,3.9134764671325684,2.279087781906128,2.0150086879730225,3.580152988433838,2.244080066680908,1.3981575965881348,3.707468271255493,2.704025983810425,3.3011603355407715,1
I don’t trust doctors.  I don’t trust the CDC.  God gave us an immune system and as a healthy persons that is all I need to protect myself from getting COVID.   I think this is all a bunch of hysteria and profiteering by the Pharm industry,3.6202425956726074,2.8786962032318115,3.1322197914123535,1.5823861360549927,4.6231913566589355,3.2582345008850098,2.7415249347686768,2.4223248958587646,3.6453044414520264,3.2226409912109375,1.9354759454727173,3.427130699157715,2.4900429248809814,3.7280113697052,2.8141167163848877,3.137373447418213,3.5562057495117188,2.371079206466675,4.096508502960205,3.5609030723571777,3.845410108566284,You feel that your immune systems is strong enough to protect you from getting covid-19 and you don’t trust the motives of the health system and pharmaceutical industry. You don’t think they are telling us the truth about COVID-19.  They have ulterior motives.,3.82019305229187,2.64656138420105,2.8027584552764893,1.3424251079559326,4.723116397857666,3.229973316192627,2.9305760860443115,2.0297470092773438,3.617603063583374,3.032013177871704,1.6814653873443604,3.4826035499572754,2.1830899715423584,3.692140579223633,2.9772517681121826,2.9633262157440186,3.602022409439087,2.3955702781677246,4.113556861877441,3.6642630100250244,3.8363349437713623,3
I don’t trust doctors.  I don’t trust the CDC.  God gave us an immune system and as a healthy persons that is all I need to protect myself from getting COVID.   I think this is all a bunch of hysteria and profiteering by the Pharm industry,3.6202425956726074,2.8786962032318115,3.1322197914123535,1.5823861360549927,4.6231913566589355,3.2582345008850098,2.7415249347686768,2.4223248958587646,3.6453044414520264,3.2226409912109375,1.9354759454727173,3.427130699157715,2.4900429248809814,3.7280113697052,2.8141167163848877,3.137373447418213,3.5562057495117188,2.371079206466675,4.096508502960205,3.5609030723571777,3.845410108566284,Putting your trust in others is hard for you. It scares you that a company or entity potentially could be experimenting on you with their treatments.,3.5036091804504395,2.9161903858184814,3.0986032485961914,1.4287115335464478,4.695278167724609,3.165865898132324,2.2047767639160156,2.41030216217041,3.9500153064727783,3.233995199203491,1.8598757982254028,3.284994125366211,2.4965479373931885,3.990483283996582,2.295701742172241,3.1060588359832764,3.8448715209960938,2.6376655101776123,3.907184362411499,3.5208983421325684,3.777695894241333,3
