Utterance,suddenness,familiarity,predict_event,pleasantness,unpleasantness,goal_relevance,chance_responsblt,self_responsblt,other_responsblt,predict_conseq,goal_support,urgency,self_control,other_control,chance_control,accept_conseq,standards,social_norms,attention,not_consider,effort,Speaker,Emotion,Scene_ID,Utterance_ID,Season,Episode,Start_Time,End_Time
"What you guys don't understand is, for us, kissing is as important as any part of it.",2.910198211669922,3.4127368927001953,3.6941442489624023,3.5051229000091553,2.852064371109009,3.1683146953582764,2.035900831222534,3.2310831546783447,4.00189208984375,3.597641706466675,3.493036985397339,3.192739248275757,3.24452543258667,4.1822943687438965,1.9596096277236938,3.7231931686401367,2.3615691661834717,1.7696146965026855,3.9049317836761475,2.359057903289795,3.3681275844573975,['Monica Geller'],Joyful,1,1,1,2,00:00:02.877,00:00:07.548
"Yeah, right!.......Y'serious?",3.027388572692871,3.662670135498047,3.869488000869751,2.1155450344085693,4.199183940887451,2.97454833984375,2.311699628829956,3.1843769550323486,3.4029195308685303,3.656848669052124,2.471808910369873,3.070345878601074,3.1331088542938232,3.674907922744751,2.405486822128296,3.476647138595581,3.1757657527923584,2.033174991607666,3.6790735721588135,3.24819278717041,3.4552106857299805,['Joey Tribbiani'],Neutral,1,2,1,2,00:00:04.504,00:00:07.548
"Oh, yeah!",2.880272626876831,3.3788506984710693,3.741276979446411,3.653477191925049,2.751081943511963,3.4170174598693848,2.158684492111206,3.534335136413574,3.4129741191864014,3.719006061553955,3.625859498977661,3.246204137802124,3.343181848526001,3.878192186355591,2.1324877738952637,3.780153274536133,2.214125156402588,1.5940892696380615,4.074109077453613,2.2491674423217773,3.39133620262146,['Phoebe Buffay'],Joyful,1,3,1,2,00:00:07.924,00:00:09.508
Everything you need to know is in that first kiss.,2.8373138904571533,3.1730644702911377,3.5856688022613525,4.026525020599365,2.316115140914917,3.401942729949951,2.0245039463043213,3.5304207801818848,3.6282148361206055,3.5932178497314453,3.844309091567993,3.2346348762512207,3.2898318767547607,3.9415383338928223,1.965995192527771,3.915034532546997,1.9391467571258545,1.5187506675720215,4.030588626861572,2.0333523750305176,3.273242712020874,['Rachel Green'],Powerful,1,4,1,2,00:00:11.970,00:00:17.683
Absolutely.,3.1243996620178223,3.17281436920166,3.6487231254577637,2.8638410568237305,3.6358137130737305,3.617772102355957,2.382967710494995,3.2405378818511963,3.431340456008911,3.640867233276367,3.0517725944519043,3.429935932159424,3.005296468734741,3.8151707649230957,2.461380958557129,3.4452996253967285,2.823007106781006,1.8750391006469727,4.223042011260986,2.8446402549743652,3.7973623275756836,['Monica Geller'],Powerful,1,5,1,2,00:00:14.139,00:00:15.097
"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",2.7224671840667725,3.4411277770996094,3.792862892150879,3.67486834526062,2.602442741394043,3.2557148933410645,1.979296326637268,3.446911096572876,3.7005207538604736,3.6719412803649902,3.7128000259399414,3.122744083404541,3.320589542388916,4.043712615966797,2.0160276889801025,3.797513246536255,2.14998459815979,1.6471456289291382,3.9558112621307373,2.2195892333984375,3.3329432010650635,['Chandler Bing'],Joyful,1,6,1,2,00:00:17.892,00:00:27.109
"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.",3.0789177417755127,3.5746798515319824,3.588297128677368,2.5469987392425537,3.613377094268799,2.7843899726867676,2.045936346054077,2.41896653175354,4.289877414703369,3.540325164794922,2.7635090351104736,3.0034329891204834,2.7689456939697266,4.460046768188477,2.1899590492248535,3.5073845386505127,3.0841028690338135,2.2079031467437744,3.5541887283325195,2.7566256523132324,3.2650814056396484,['Ross Geller'],Neutral,1,7,1,2,00:00:30.363,00:00:39.288
"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",2.122734308242798,4.14631462097168,4.383364677429199,1.7646821737289429,4.053235054016113,1.9785581827163696,2.065063953399658,3.213108777999878,2.686765432357788,3.7561302185058594,2.2507145404815674,2.3552350997924805,3.3782925605773926,2.940549373626709,2.3153164386749268,3.403599977493286,2.644888401031494,1.6401207447052002,2.8978374004364014,2.964426040649414,2.80216646194458,['Chandler Bing'],Mad,1,8,1,2,00:00:37.287,00:00:53.844
"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",2.696223497390747,4.001901149749756,4.0251240730285645,2.326918363571167,3.8434176445007324,2.399683952331543,2.0255324840545654,2.729102849960327,3.736440896987915,3.6844658851623535,2.5618627071380615,2.7354798316955566,3.0614449977874756,3.941283941268921,2.222501754760742,3.5981526374816895,3.000983715057373,2.1077075004577637,3.3438010215759277,2.8976194858551025,3.024712562561035,['Rachel Green'],Sad,1,9,1,2,00:00:51.092,00:01:03.687
....Are we still talking about sex?,3.0431339740753174,3.533444404602051,3.630496025085449,1.7782827615737915,4.267969608306885,2.617115020751953,2.0019662380218506,2.3186280727386475,4.06882381439209,3.4831671714782715,2.1176657676696777,2.9291558265686035,2.668879747390747,4.120956897735596,2.2370684146881104,3.330960750579834,3.540241241455078,2.435791015625,3.496337890625,3.2318224906921387,3.2761406898498535,['Joey Tribbiani'],Joyful,1,10,1,2,00:01:08.443,00:01:10.778
