sp_id,rp_id,seeker_post,seeker_post_suddenness,seeker_post_familiarity,seeker_post_predict_event,seeker_post_pleasantness,seeker_post_unpleasantness,seeker_post_goal_relevance,seeker_post_chance_responsblt,seeker_post_self_responsblt,seeker_post_other_responsblt,seeker_post_predict_conseq,seeker_post_goal_support,seeker_post_urgency,seeker_post_self_control,seeker_post_other_control,seeker_post_chance_control,seeker_post_accept_conseq,seeker_post_standards,seeker_post_social_norms,seeker_post_attention,seeker_post_not_consider,seeker_post_effort,response_post,response_post_suddenness,response_post_familiarity,response_post_predict_event,response_post_pleasantness,response_post_unpleasantness,response_post_goal_relevance,response_post_chance_responsblt,response_post_self_responsblt,response_post_other_responsblt,response_post_predict_conseq,response_post_goal_support,response_post_urgency,response_post_self_control,response_post_other_control,response_post_chance_control,response_post_accept_conseq,response_post_standards,response_post_social_norms,response_post_attention,response_post_not_consider,response_post_effort,level,rationales
65m92s,dgbdk7z,Help. Help me. I dunno what I'm doing anymore,3.300875425338745,2.927389621734619,3.4620871543884277,1.4495517015457153,4.687901973724365,3.532935380935669,2.848402738571167,3.6403489112854004,2.083418369293213,3.3486552238464355,1.9346282482147217,3.3667221069335938,3.112126111984253,2.506035089492798,2.776233196258545,3.0892927646636963,3.0380325317382812,1.7630839347839355,3.7715916633605957,3.7621898651123047,3.8054890632629395,"That's pretty vague, do you not know what you're doing in regards to a specific section of your life? Like school or work?",2.4485549926757812,3.9658596515655518,4.188209533691406,1.4914591312408447,4.384443283081055,2.5510094165802,1.9355103969573975,3.5158681869506836,2.7303965091705322,3.711716890335083,2.009290933609009,2.672520875930786,3.3158671855926514,3.0032904148101807,2.1335384845733643,3.3433213233947754,3.247971296310425,1.9795405864715576,3.2442259788513184,3.3734171390533447,3.1638288497924805,0,
9ezsfi,e5t3oxh,I'm done saying I love you to her because I don't want to hear a lie back to me. I feel so ugly and unwanted and unloved,3.0149471759796143,3.2730212211608887,3.644730567932129,1.4036920070648193,4.623034954071045,3.3821115493774414,2.023517370223999,3.7600317001342773,2.8272716999053955,3.527442455291748,2.1056244373321533,3.19751238822937,3.307741403579712,3.061777353286743,1.9709705114364624,3.1743388175964355,3.4828782081604004,2.056398391723633,3.657860040664673,3.6591639518737793,3.7428674697875977,"idk what a Red pill means exactly but my advice to you is if she treating you right then fuck her there are billions of other girls out there, and if u feel like in love with her and just leave her then try to not care and you have to accept the fact that some girls(as well as some guys) will lie straight to your face for years without any remorse. my advice is stop caring before too late.",3.5529236793518066,2.951892137527466,3.0963850021362305,1.6605966091156006,4.4491753578186035,3.1729559898376465,2.1283771991729736,2.587458848953247,4.148148059844971,3.2266337871551514,2.0112316608428955,3.3394010066986084,2.6648292541503906,4.140074729919434,2.0599234104156494,3.1244192123413086,3.808609962463379,2.5985147953033447,3.8689591884613037,3.4359424114227295,3.7156288623809814,0,
6b2cmc,dhj8tcb,Always feel like I'm being criticized and mocked even when alone.... Does anyone else experience this?,3.6461994647979736,2.9791297912597656,3.1808619499206543,1.2539913654327393,4.8548359870910645,3.2408852577209473,2.3451576232910156,2.82763671875,3.513007879257202,3.174920082092285,1.719411849975586,3.39078426361084,2.7428133487701416,3.594369649887085,2.3591606616973877,2.929379940032959,3.822338581085205,2.3965559005737305,3.792678117752075,3.715395927429199,3.8409929275512695,"I think it's social anxiety , that creates paranoid feelings , unless I'm wrong but that's how I feel",3.1717886924743652,2.9983575344085693,3.4805808067321777,1.528578519821167,4.60705041885376,3.638892889022827,2.7636611461639404,3.7788658142089844,2.1803507804870605,3.345076560974121,2.034327983856201,3.348747968673706,3.1152896881103516,2.5890555381774902,2.6745283603668213,3.0654613971710205,3.1236772537231445,1.8219690322875977,3.8449723720550537,3.728912591934204,3.84197735786438,0,
8iz0as,dyvq1ne,"My diet becomes fucked when i get depressed.. I can't control myself in the grocery store when I'm feeling down. Chips, cookies, soda, cake, you name It. Anyone else a stress eater?",2.7861838340759277,3.084099531173706,3.6439287662506104,0.9797118902206421,4.694477558135986,3.261829137802124,2.4341211318969727,4.190971374511719,1.3451659679412842,3.2281720638275146,1.6550559997558594,2.9848151206970215,3.3526573181152344,1.7028297185897827,2.314195394515991,2.918095827102661,3.0699119567871094,1.6868785619735718,3.383362293243408,3.8537309169769287,3.4743969440460205,"By any chance do you think you're in a loop. Junk food can make you depressed. And being depressed probably makes you eat more junk food? For a while that was my problem too. Even if its just random, ill probably binge and feel bad later. Only to indulge in more later to try to cheer up.",2.7524569034576416,3.2276759147644043,3.76141357421875,1.069201946258545,4.6857590675354,3.0371217727661133,2.4436514377593994,4.072994709014893,1.538374662399292,3.2795896530151367,1.6273294687271118,2.897261619567871,3.3498690128326416,1.7972921133041382,2.350188732147217,3.0484044551849365,3.0819053649902344,1.7981572151184082,3.350414514541626,3.815868377685547,3.333216905593872,0,
aow3l9,eg40ecq,"I hate not knowing why. I was diagnosed with depression and anxiety when I was 14. That's almost 4 years ago and I still don't know why I am like this. I have more than enough, yet there are moments where I feel like there's no hope nor a bright future waiting for me. I feel alone and abandoned even though I have friends who know that I am depressed and am like this sometimes. I get so frustrated when I can't find out why I just can't be normal. Everything was alright about 2 hours ago, but it just changes so quickly and hard that I almost feel suicidal. I'm a fucking mess...",3.380328416824341,2.4335551261901855,2.980135440826416,1.0671954154968262,4.878430366516113,3.803527593612671,2.964789628982544,3.46943736076355,1.8518702983856201,3.04826021194458,1.651667833328247,3.492975950241089,2.776911735534668,2.304281234741211,2.8704280853271484,2.764383316040039,3.1564149856567383,1.8025269508361816,3.963365077972412,3.900099992752075,4.058139324188232,"depression. not sadness which is caused by something and is healthy. Depression is an actual mental disorder which commonly goes untreated. The best things you can do for depression is first of all, not hiding it, tell your loved ones so they can help you. also get a therapist, very helpful and help you cope with depression and get over it. If you think really bad you can see a doctor and see if medication is a good idea. I take antidepressants and my depression is gone, it change you like I originally thought it would, it just makes me the same but not sad all the time.",3.475806474685669,2.47434401512146,3.039456844329834,2.3224189281463623,3.985563278198242,4.172544956207275,3.0846269130706787,3.405289649963379,2.4318957328796387,3.237771987915039,2.6679434776306152,3.744554281234741,2.799725294113159,2.9375760555267334,3.0585224628448486,3.173684597015381,2.6308231353759766,1.5805130004882812,4.407443046569824,3.232670783996582,4.124802589416504,0,
5aliuq,d9hmspc,"Not arsed with school. Can't study or do homework.. My family is in a bad way right now and I'm in a bad way, mentally. I just can't care about school anymore. Feels hopeless",2.9682703018188477,3.0747146606445312,3.5912392139434814,1.1179001331329346,4.868398189544678,3.3771677017211914,2.560483694076538,3.843740940093994,1.8859903812408447,3.3511359691619873,1.7174632549285889,3.1425774097442627,3.2544713020324707,2.2368087768554688,2.440549850463867,3.0105063915252686,3.174964427947998,1.784330129623413,3.53680682182312,3.8414766788482666,3.695873737335205,That's why I'm repeating 11th grade. It sucks.,2.6159181594848633,3.2211930751800537,3.830720901489258,1.6402802467346191,4.426721572875977,3.558957815170288,2.235582113265991,4.031306743621826,2.121009349822998,3.658817768096924,2.2880451679229736,3.070404529571533,3.324259042739868,2.632880449295044,2.3316335678100586,3.2695133686065674,2.97001576423645,1.6485872268676758,3.7485764026641846,3.592630624771118,3.7530996799468994,0,
auo0t4,eh9cb6a,"My parents wont allow me to sick medical assistance because they think my depression is bs. Title. I'm 16, got no money. What to do?",3.6841421127319336,2.4673008918762207,2.9039273262023926,1.212036371231079,4.93911075592041,3.7852556705474854,2.672696590423584,2.9721245765686035,2.9453189373016357,3.1399729251861572,1.6576954126358032,3.5484225749969482,2.6454763412475586,3.2438132762908936,2.5606093406677246,2.7947850227355957,3.588182210922241,2.1630752086639404,4.031187057495117,3.7858574390411377,4.10046911239624,"Ask your school counselor what resources they can give you. Just go into the office, ask for the counselor, and see what they've got.",3.088376998901367,3.19400954246521,3.465970039367676,3.8375611305236816,2.55496883392334,3.5735931396484375,2.2338643074035645,3.327376127243042,3.62197208404541,3.5640780925750732,3.629462480545044,3.275582790374756,3.145240306854248,4.069211483001709,2.2320563793182373,3.8254892826080322,2.1105611324310303,1.6234843730926514,4.170971393585205,2.16683030128479,3.313721179962158,0,
7oi3es,ds9oti2,"I called in sick to work today. For the first time in a couple months I was feeling so Shitty I called into both my jobs today. Just feeling too burnt out, but I slept a lot, read quite a bit and finally managed to shower so the day a complete waste",2.638551950454712,3.0229146480560303,3.707307815551758,1.3466978073120117,4.278604984283447,3.344773530960083,2.5308127403259277,4.333076000213623,0.9412875771522522,3.2448108196258545,1.9238526821136475,2.976804733276367,3.474944829940796,1.4914040565490723,2.428166389465332,3.0662569999694824,2.6497068405151367,1.3858760595321655,3.3915774822235107,3.560338258743286,3.387066602706909,Is that really so bad? Maybe it was the smart decision because you needed that time to read recover. You're being kind to yourself when you need it and that's important. Hope you feel better soon.,2.757183313369751,3.2844016551971436,3.869001865386963,2.7456603050231934,3.5207767486572266,3.77469539642334,2.5261740684509277,4.0591254234313965,2.1308085918426514,3.628462076187134,2.995156764984131,3.2413265705108643,3.400770664215088,2.7029836177825928,2.656461477279663,3.502042531967163,2.3410792350769043,1.368103265762329,3.9947781562805176,2.8902506828308105,3.6589934825897217,1,Hope you feel better soon|
8r6onw,e0oz7y1,"Lost my job, have no reason to live. My career is over, my personal relationships are barely existent, and the friends I do have live far away.  I have absolutely no reason to live, no job prospects, no way to afford treatment. I will be killing myself soon unless a miracle happens.",3.6088290214538574,2.2015914916992188,2.799970865249634,1.0696929693222046,4.919910430908203,3.911653757095337,3.0996387004852295,3.1690986156463623,2.0173232555389404,2.965806484222412,1.5941238403320312,3.5583786964416504,2.566943883895874,2.49245548248291,2.9594883918762207,2.627619504928589,3.1711442470550537,1.8245172500610352,3.9789340496063232,3.8639488220214844,4.12399435043335,Why can't you get a job as a lawyer?,3.4512503147125244,3.1525075435638428,3.268648147583008,1.7480311393737793,4.422823905944824,3.291430950164795,2.223888635635376,2.6027064323425293,3.996652603149414,3.3838748931884766,2.1395657062530518,3.2799184322357178,2.645538091659546,4.117915153503418,2.2719364166259766,3.212615728378296,3.6168267726898193,2.3075778484344482,3.8169078826904297,3.3696162700653076,3.668790340423584,0,
7gipvi,dqje246,"i wanna jump from an elevated place. i wanna kill myself, like really really would like to jump off an elevated place, but not die what do i do? drugs? fall from somewhere not far above the ground(like a 4meters jump)? you know, i'd just like to die but i have a gr8 life other than that (I have different lives in two different countries, just want to kill myself in one)",3.349625825881958,2.7291088104248047,3.22271728515625,1.159066915512085,4.7689642906188965,3.494908332824707,2.7104151248931885,3.9513766765594482,1.98195481300354,3.1387553215026855,1.757943868637085,3.3316445350646973,3.0960240364074707,2.3143577575683594,2.4642369747161865,2.9533743858337402,3.2039411067962646,1.8417751789093018,3.665886402130127,3.8381710052490234,3.6972904205322266,"I don't want you to jump. I don't want you to die, in either one. I don't know exactly what you're going through but from the sounds of it, I'd suggest focusing on the parts in your life that you enjoy.",3.4782159328460693,2.881472587585449,3.3263869285583496,1.5855404138565063,4.658273220062256,3.503851890563965,2.9287750720977783,2.853769302368164,2.9475796222686768,3.345465660095215,2.0213265419006348,3.4966373443603516,2.6361958980560303,3.2863919734954834,3.0456149578094482,3.0569589138031006,3.1838488578796387,1.9765130281448364,4.085463523864746,3.586409330368042,3.9453063011169434,1,I don't want you to jump. I don't want you to die|
