	round_number	emotion	text_id	timestamp	prolific_id	anger	boredom	disgust	fear	guilt	joy	pride	relief	sadness	shame	surprise	trust	generated_text	hidden_emo_text	event_duration	emotion_duration	intensity	confidence	suddenness	familiarity	predict_event	pleasantness	unpleasantness	goal_relevance	chance_responsblt	self_responsblt	other_responsblt	predict_conseq	goal_support	urgency	self_control	other_control	chance_control	accept_conseq	standards	social_norms	attention	not_consider	effort	previous_participation	age	gender	education	ethnicity	extravert	critical	dependable	anxious	open	quiet	sympathetic	disorganized	calm	conventional	did_you_lie?	original_demographics
2550	round-3	joy	3573	2021/09/03 9:28:01 pm EET	8f7e7167f32371004cbf5e3e92bbcb89	1	1	1	1	5	1	1	1	1	1	1	1	I was told “I love you” by a special person	I was told “I love you” by a special person	minutes	hours	5	2	2	2	4	5	1	5	3	3	3	4	5	5	5	5	5	4	1	1	4	4	3	Yes, first time, I will answer the following questions.	18	Female	Secondary education	European	5.0	5.0	5.0	5.0	5.0	4.0	3.0	4.0	3.0	3.0	--	ORIGINAL
2746	round-5	joy	51199	2021/10/06 2:23:33 pm EET	034bb12696eb7f4e7b155459c1d5fd57	1	2	1	1	1	2	1	1	2	1	1	1	I gave birth to my son.	I gave birth to my son.	hours	weeks	5	5	2	3	5	3	3	5	4	5	5	5	4	5	1	2	4	4	1	1	5	1	5	No, I participated before and answered the next set of questions.	28	Female	High school	European	2.0	6.0	3.0	7.0	5.0	2.0	5.0	6.0	1.0	4.0	The event really happened in my life.	COPIED FROM: text id 5296
3539	round-6	no-emotion	6601	2021/11/01 10:02:18 pm CET	0743877ee40f4b9ec5bf92195381ed2b	1	1	1	1	1	1	1	1	1	1	1	1	When a student told me to ‘fuck off’ to my face	When a student told me to ‘fuck off’ to my face	seconds	I had none	5	5	5	1	1	1	5	1	1	1	5	1	1	5	1	5	1	1	3	5	5	3	5	Yes, first time, I will answer the following questions.	35	Female	Graduate degree (MA/MSc/MPhil/other)	European	5.0	2.0	5.0	1.0	7.0	6.0	6.0	2.0	6.0	1.0	The event really happened in my life.	ORIGINAL
3127	round-3	no-emotion	3727	2021/09/03 10:12:28 pm EET	4d82215ac84dc6962609bce7dde2ab5e	1	2	2	1	1	3	2	3	1	1	1	2	When I’m doing my day to day routine.	When I’m doing my day to day routine.	days	hours	3	4	4	2	2	1	3	2	1	5	4	2	2	1	4	1	4	1	1	1	1	2	4	Yes, first time, I will answer the following questions.	19	Female	Secondary education	White	5.0	5.0	6.0	6.0	4.0	7.0	7.0	2.0	5.0	3.0	--	ORIGINAL
5390	round-5	shame	52291	2021/10/06 1:36:21 pm EET	5ef572df9b4b7b5e890c3f594abcf111	1	2	1	1	1	1	1	1	1	1	1	3	i failed a subject.	i failed a subject.	weeks	weeks	4	3	2	3	4	1	5	5	3	4	3	4	1	2	4	4	4	3	4	1	4	4	4	No, I participated before and answered the next set of questions.	27	Female	Undergraduate degree (BA/BSc/other)	Australian/New Zealander	2.0	2.0	2.0	4.0	4.0	5.0	4.0	6.0	3.0	2.0	The event really happened in my life.	COPIED FROM: text id 593
4565	round-5	relief	51983	2021/10/06 6:16:46 pm EET	5e7d49dbe86b301bfc98dd421ed6392c	1	3	1	1	1	1	1	1	1	1	1	1	I went into a job interview and the interviewer enjoyed my answers to the application	I went into a job interview and the interviewer enjoyed my answers to the application	minutes	hours	5	5	3	4	5	5	1	4	1	5	3	4	5	2	2	5	1	4	1	1	5	1	4	Yes, first time, I will answer the following questions.	19	Female	High school	European	6.0	5.0	7.0	6.0	6.0	2.0	7.0	1.0	5.0	1.0	The event really happened in my life.	ORIGINAL
5696	round-4	surprise	41670	2021/09/20 2:31:32 am EET	388530ce0a122fbed145773701f3fa74	1	1	1	1	1	1	1	1	1	1	1	1	i felt surprise when i had an unexpected birthday party thrown for me because i rarely get to celebrate it.	i felt ... when i had an unexpected birthday party thrown for me because i rarely get to celebrate it.	hours	hours	3	5	5	1	1	5	1	1	1	1	5	1	5	5	1	4	1	5	4	1	3	1	4	No, I participated before and answered the next set of questions.	23	Male	High school	Hispanic/Latino	1.0	6.0	7.0	3.0	1.0	6.0	3.0	3.0	6.0	2.0	--	COPIED FROM: text id 41834
2123	round-5	fear	5865	2021/10/06 3:56:07 pm EET	8475bf32912a4538cdac83451b9ca1a1	1	2	1	1	1	1	1	1	1	1	1	1	When a potential drunk driver nearly crashed into us coming from the other direction	When a potential drunk driver nearly crashed into us coming from the other direction	seconds	weeks	5	5	5	1	1	1	5	1	1	1	5	5	1	5	1	5	1	1	5	5	5	5	3	No, I participated before and answered the next set of questions.	29	Female	High school	European	1.0	3.0	7.0	7.0	7.0	7.0	7.0	7.0	5.0	5.0	The event really happened in my life.	COPIED FROM: text id 5475
1997	round-5	fear	5791	2021/10/06 2:01:53 pm EET	e044a588a9ea08a45e2f014e9fd74d7a	1	4	1	2	3	4	4	1	2	1	3	3	My children were born	My children were born	weeks	weeks	5	5	3	4	1	4	2	5	5	5	5	3	5	5	4	4	5	4	1	1	5	1	5	No, I participated before and answered the next set of questions.	29	Female	Secondary education	Prefer not to answer	4.0	4.0	7.0	6.0	3.0	5.0	6.0	2.0	4.0	4.0	The event really happened in my life.	COPIED FROM REJECTED: text id 573
2666	round-4	joy	4855	2021/09/20 1:24:29 am EET	cbc314a699457bb6b33270f2d8c06142	1	2	1	1	1	2	2	2	1	1	2	1	I took a much needed vacation and break from social media	I took a much needed vacation and break from social media	days	weeks	3	5	1	3	3	5	1	4	1	5	1	3	5	3	5	1	1	5	1	1	3	1	2	No, I participated before and answered the next set of questions.	27	Female	High school	White	1.0	6.0	3.0	7.0	5.0	7.0	7.0	6.0	2.0	3.0	--	COPIED FROM: text id 493
967	round-5	boredom	5377	2021/10/06 3:43:51 pm EET	635d3ca3f3f6e743f534a0b1de4a1054	1	4	1	1	1	1	1	1	4	1	1	1	Covid-19 began and i ended up spending 7 months without a single conversation to any human!!!	Covid-19 began and i ended up spending 7 months without a single conversation to any human!!!	weeks	weeks	5	5	5	1	1	1	5	5	5	1	5	1	3	5	1	5	5	4	4	5	5	3	5	No, I participated before and answered the next set of questions.	32	Female	High school	White british	5.0	6.0	7.0	7.0	3.0	4.0	7.0	1.0	4.0	4.0	The event really happened in my life.	COPIED FROM: text id 52125
5819	round-5	surprise	52432	2021/10/06 3:22:02 pm EET	d99341c34da32e19e1103c9cfd5a737c	1	1	1	1	1	1	1	1	1	1	1	1	when i found out that i was pregnant because it was unexpected	when i found out that i was pregnant because it was unexpected	weeks	weeks	5	5	4	1	1	5	1	5	5	3	3	4	5	3	3	1	3	4	1	1	1	1	1	No, I participated before and answered the next set of questions.	27	Female	Undergraduate degree (BA/BSc/other)	South Asian	6.0	3.0	6.0	4.0	6.0	6.0	6.0	2.0	5.0	2.0	The event really happened in my life.	COPIED FROM: text id 52097
1106	round-2	disgust	240	2021/07/20 4:48:03 pm EET	ca219a7015d8f23e3760343f213f27c5	1	2	1	1	1	2	2	2	1	1	1	1	I felt disgust when I accidentally drank some expired chocolate milk, at first the sweetness masked the taste but the aftertaste and texture which had turned slimy made me feel ill	I felt ... when I accidentally drank some expired chocolate milk, at first the sweetness masked the taste but the aftertaste and texture which had turned slimy made me feel ill	minutes	hours	4	5	3	2	5	1	5	1	2	5	1	1	3	2	4	1	1	5	1	1	1	2	1	Yes, first time, I will answer the following questions.	21	Male	High school	European	3.0	5.0	6.0	2.0	6.0	5.0	4.0	5.0	7.0	7.0	--	ORIGINAL
1259	round-4	disgust	4351	2021/09/20 1:03:30 am EET	95de5ea3f15ceb8e91765111fe30dba4	1	1	1	1	1	1	1	1	1	1	1	1	I was walking in the lark with a friend and a stranger approached us and exposed himself	I was walking in the lark with a friend and a stranger approached us and exposed himself	seconds	days	5	5	5	1	1	1	5	1	3	1	5	1	1	4	1	5	2	4	5	5	3	4	2	Yes, first time, I will answer the following questions.	49	Female	High school	European	1.0	1.0	3.0	6.0	4.0	6.0	7.0	1.0	5.0	2.0	--	ORIGINAL
6325	round-5	trust	52756	2021/10/06 3:23:50 pm EET	b07d02ba5ecef323eaa1012c1e6cd900	1	1	1	1	1	3	1	2	1	1	1	5	a pastor answered my question and gave me advice.	a pastor answered my question and gave me advice.	minutes	weeks	5	5	2	4	1	5	1	5	2	5	5	5	3	5	5	5	2	3	1	1	5	1	5	No, I participated before and answered the next set of questions.	35	Female	Undergraduate degree (BA/BSc/other)	American	6.0	1.0	7.0	2.0	7.0	3.0	7.0	2.0	7.0	1.0	The event really happened in my life.	COPIED FROM: text id 52317
